Taper_length,Waist_scale,Waist_len,Low_wavelength,High_wavelength,SC_range
0.07,0.4,0.025,858.4680988921887,2199.2150542740605,1340.7469553818719
0.08000000000000002,0.28,0.025,873.0939210656186,2199.2150542740605,1326.121133208442
0.08000000000000002,0.29333333333333333,0.025,887.8321736887466,2199.2150542740605,1311.382880585314
0.08000000000000002,0.3066666666666667,0.025,904.3023771616508,2199.2150542740605,1294.9126771124097
0.08000000000000002,0.32,0.025,918.2906635899544,2199.2150542740605,1280.9243906841061
0.08000000000000002,0.33333333333333337,0.025,926.6641018213802,2199.2150542740605,1272.5509524526803
0.08000000000000002,0.3466666666666667,0.025,933.8807087194245,2199.2150542740605,1265.334345554636
0.08000000000000002,0.36,0.025,935.0458097353826,2199.2150542740605,1264.169244538678
0.08000000000000002,0.37333333333333335,0.025,933.8807087194245,2199.2150542740605,1265.334345554636
0.08000000000000002,0.3866666666666667,0.025,929.9698391376984,2199.2150542740605,1269.2452151363623
0.08000000000000002,0.4,0.025,1483.2550899303192,2199.2150542740605,715.9599643437414
0.09000000000000001,0.28,0.025,935.9215450939231,2199.2150542740605,1263.2935091801373
0.09000000000000001,0.29333333333333333,0.025,942.8386438918486,2199.2150542740605,1256.3764103822118
0.09000000000000001,0.3066666666666667,0.025,1486.1963357432833,2199.2150542740605,713.0187185307773
0.09000000000000001,0.32,0.025,1485.4599312581747,2199.2150542740605,713.7551230158858
0.09000000000000001,0.33333333333333337,0.025,904.1660095763445,2199.2150542740605,1295.049044697716
0.09000000000000001,0.3466666666666667,0.025,882.6045258690682,2199.2150542740605,1316.6105284049922
0.09000000000000001,0.36,0.025,832.7153390170656,2199.2150542740605,1366.499715256995
0.09000000000000001,0.37333333333333335,0.025,842.8998717048257,2199.2150542740605,1356.3151825692348
0.09000000000000001,0.3866666666666667,0.025,843.9676807970748,2199.2150542740605,1355.2473734769858
0.09000000000000001,0.4,0.025,1121.063388582174,2199.2150542740605,1078.1516656918866
0.1,0.28,0.025,885.9954673858105,2199.2150542740605,1313.21958688825
0.1,0.29333333333333333,0.025,867.786634800216,2199.2150542740605,1331.4284194738445
0.1,0.3066666666666667,0.025,854.4310461551415,2199.2150542740605,1344.784008118919
0.1,0.32,0.025,842.5445355404419,2199.2150542740605,1356.6705187336188
