Trace
Log Plot
A.29.04,N9000B
2511.88643150958,-39.7529228237051
2550.74278371136,-33.0820273806587
2590.20020453132,-33.0662766528764
2630.26799189538,-40.3342512287583
2670.95558755899,-32.2266723135137
2712.27257933203,-31.2805667128859
2754.22870333817,-34.2343331734163
2796.83384630908,-36.4597273963016
2840.09804791422,-36.4780968192273
2884.03150312661,-31.5613616961296
2928.64456462524,-33.1152094129498
2973.94774523461,-35.8296235652128
3019.95172040202,-43.7909726149901
3066.66733071318,-38.8797928452062
3114.10558444676,-35.7752892537406
3162.27766016838,-41.80805446563
3211.19490936482,-40.2269705359644
3260.86885911893,-39.5624021952777
3311.31121482591,-38.7673886963141
3362.53386295163,-39.1459620207526
3414.5488738336,-41.2570220329725
3467.36850452532,-37.4500992901896
3521.00520168452,-38.2712092749356
3575.47160450621,-35.2568888295212
3630.78054770101,-40.6263929456103
3686.94506451958,-37.1488812408872
3743.97838982381,-38.1024802007017
3801.89396320561,-40.504614933214
3860.70543215381,-41.413411762699
3920.42665527015,-42.2440525307159
3981.07170553497,-37.8833214030126
4042.65487362344,-40.6637291016245
4105.19067127308,-39.5553825342388
4168.69383470336,-39.615412077614
4233.17932808821,-40.1760661457091
4298.66234708228,-36.3279958720941
4365.15832240166,-44.1782153689622
4432.68292346009,-43.7859977692284
4501.25206206134,-41.2542696222697
4570.88189614875,-42.3300500480789
4641.58883361278,-43.5512065684262
4713.38953615741,-43.6312131125711
4786.30092322638,-40.903238979694
4860.34017599022,-40.1883378768676
4935.52474139481,-45.4518839879299
5011.87233627272,-45.6753867296032
5089.40095151809,-39.5242777503358
5168.12885632604,-39.5940995422092
5248.07460249773,-42.6854462418924
5329.257028812,-40.4557879091681
5411.69526546464,-43.2102551721833
5495.40873857625,-43.1671398720723
5580.41717476996,-44.7176948242298
5666.74060581991,-47.6750667775318
5754.39937337157,-43.8052109673537
5843.41413373518,-40.1704248828975
5933.80586275328,-38.9122244973312
6025.59586074358,-48.3437902334948
6118.80575751822,-51.3690748764618
6213.45751748076,-44.4813578219614
6309.57344480193,-43.930581001732
6407.17618867554,-43.7557005240874
6506.28874865557,-44.8956310899427
6606.93448007596,-48.4561333255714
6709.13709955411,-44.5072317955611
6812.92069057961,-47.8016886266533
6918.30970918937,-46.3638290261348
7025.32898973052,-47.3277371029588
7134.00375071256,-49.48935400708
7244.3596007499,-43.7390672756738
7356.42254459641,-44.7383990503075
7470.21898927332,-42.2584395364782
7585.77575029184,-47.5261757651149
7703.12005797215,-47.3341990691762
7822.27956386003,-47.9099185988787
7943.28234724281,-50.1147765213348
8066.15692176614,-44.9640941673863
8190.93224215297,-47.2100454172812
8317.63771102671,-46.1402846416481
8446.30318583969,-46.3529896981558
8576.95898590894,-48.1517633375342
8709.63589956081,-48.4832291192575
8844.365191386,-47.0348983285382
8981.17860960694,-48.0190705748121
9120.1083935591,-53.5177167276402
9261.18728128793,-48.8554551060219
9404.44851726352,-48.5927675590527
9549.92586021436,-50.768675308169
9697.65359108249,-49.463290622041
9847.66652110158,-50.6796662661105
10000,-50.455838418333
10154.6899243308,-50.0909405994381
10311.7727459305,-49.5437399810532
10471.285480509,-49.3145273048855
10633.2657163716,-47.9659653400237
10797.7516232771,-50.4239619757586
10964.7819614319,-51.8766818035042
11134.3960906236,-49.8806943880157
11306.6339794964,-50.5693853551965
11481.5362149688,-51.2644160347695
11659.1440117983,-50.261632730817
11839.499222293,-50.591645924735
12022.6443461741,-59.995625104043
12208.6225405907,-54.2447248294758
12397.4776302894,-55.3392512811885
12589.2541179417,-54.0077288602224
12783.9971946302,-53.1643360177272
12981.7527504985,-53.4945118084897
13182.5673855641,-53.8591321100388
13386.4884206999,-50.4498140550932
13593.5639087853,-57.5272395222476
13803.8426460289,-53.8671890556719
14017.3741834677,-57.6279960553763
14234.2088386434,-54.574531548034
14454.3977074593,-57.6415829699349
14677.9926762207,-58.1778803079754
14905.046433862,-57.0644520074159
15135.6124843621,-60.0710364855501
15369.7451593527,-55.7736971059909
15607.4996309211,-57.4407070524053
15848.9319246111,-55.0488212805045
16094.0989326253,-56.1933206665765
16343.0584272314,-63.6617700106065
16595.8690743756,-58.4126833969903
16852.5904475075,-58.6591030445609
17113.2830416178,-57.7387441380563
17378.0082874938,-60.0703796614057
17646.828566195,-57.2725672811717
17919.8072237533,-55.1254479601563
18197.0085860998,-66.488378296493
18478.4979742229,-60.9729686347398
18764.3417195609,-60.2382475094447
19054.6071796325,-64.4327906116993
19349.3627539095,-59.0508727720132
19648.6778999347,-55.6021029858186
19952.6231496888,-58.0355572567564
20261.2701262114,-64.0213158231584
20574.6915604784,-59.661521961587
20892.9613085404,-59.4358526509691
21216.1543689268,-67.0085859616458
21544.3469003188,-63.3716503311035
21877.6162394955,-63.0241655255469
22216.0409195581,-58.7699513541029
22559.7006884358,-61.2195252914007
22908.6765276777,-63.2667895178528
