; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -4.990234375e-12
; t2 = 5e-12
; dt = 9.765625e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.998046875e-12, 2.010754812e-3, -733.0706966e-6
-2.98828125e-12, 1.675252129e-3, -1.498670105e-3
-2.978515625e-12, 1.076959609e-3, -2.044147342e-3
-2.96875e-12, 288.3588611e-6, -2.287737611e-3
-2.958984375e-12, -584.3671071e-6, -2.196492106e-3
-2.94921875e-12, -1.414210928e-3, -1.78772866e-3
-2.939453125e-12, -2.071922855e-3, -1.122430257e-3
-2.9296875e-12, -2.447518069e-3, -293.3410371e-6
-2.919921875e-12, -2.470521434e-3, 589.1248287e-6
-2.91015625e-12, -2.124385761e-3, 1.41068231e-3
-2.900390625e-12, -1.451454674e-3, 2.065379746e-3
-2.890625e-12, -546.9173999e-6, 2.466008936e-3
-2.880859375e-12, 457.1634329e-6, 2.553053462e-3
-2.87109375e-12, 1.414280262e-3, 2.302284456e-3
-2.861328125e-12, 2.187484896e-3, 1.730338539e-3
-2.8515625e-12, 2.670064678e-3, 896.7789478e-6
-2.841796875e-12, 2.799281799e-3, -99.19292876e-6
-2.83203125e-12, 2.56167491e-3, -1.128671212e-3
-2.822265625e-12, 1.990594333e-3, -2.04951065e-3
-2.8125e-12, 1.158173645e-3, -2.727327203e-3
-2.802734375e-12, 164.4286816e-6, -3.057344901e-3
-2.79296875e-12, -874.3456189e-6, -2.982565972e-3
-2.783203125e-12, -1.836812055e-3, -2.504174494e-3
-2.7734375e-12, -2.607454948e-3, -1.681752249e-3
-2.763671875e-12, -3.087542846e-3, -623.3088804e-6
-2.75390625e-12, -3.206327573e-3, 532.4552499e-6
-2.744140625e-12, -2.931648294e-3, 1.637590087e-3
-2.734375e-12, -2.278015838e-3, 2.555585894e-3
-2.724609375e-12, -1.309651774e-3, 3.177745607e-3
-2.71484375e-12, -136.298848e-6, 3.433413371e-3
-2.705078125e-12, 1.099022962e-3, 3.294124495e-3
-2.6953125e-12, 2.239129248e-3, 2.773092339e-3
-2.685546875e-12, 3.135475473e-3, 1.921846272e-3
-2.67578125e-12, 3.670227942e-3, 825.3031814e-6
-2.666015625e-12, 3.773162456e-3, -404.483568e-6
