# Frequency; PSD [dBc/Hz]
1.47705078e+01;-3.62102432e+01
1.48315430e+01;-3.59946060e+01
1.48925781e+01;-3.61408424e+01
1.49536133e+01;-3.62101784e+01
1.50146484e+01;-3.61182289e+01
1.50756836e+01;-3.60935249e+01
1.51367188e+01;-3.63620987e+01
1.51977539e+01;-3.65002785e+01
1.52587891e+01;-3.66758270e+01
1.53198242e+01;-3.73325500e+01
1.53808594e+01;-3.76978531e+01
1.54418945e+01;-3.76897888e+01
1.55029297e+01;-3.78918762e+01
1.55639648e+01;-3.81948280e+01
1.56250000e+01;-3.83392334e+01
1.56860352e+01;-3.83093147e+01
1.57470703e+01;-3.84378700e+01
1.58081055e+01;-3.84988976e+01
1.58691406e+01;-3.82618942e+01
1.59301758e+01;-3.83183670e+01
1.59912109e+01;-3.83773422e+01
1.60522461e+01;-3.84188957e+01
1.61132812e+01;-3.82562485e+01
1.61743164e+01;-3.79304733e+01
1.62353516e+01;-3.79516296e+01
1.62963867e+01;-3.78141632e+01
1.63574219e+01;-3.77372551e+01
1.64184570e+01;-3.79422684e+01
1.64794922e+01;-3.79371147e+01
1.65405273e+01;-3.79090309e+01
1.66015625e+01;-3.77775497e+01
1.66625977e+01;-3.75296631e+01
1.67236328e+01;-3.73404579e+01
1.67846680e+01;-3.69428825e+01
1.68457031e+01;-3.68653908e+01
1.69067383e+01;-3.67882576e+01
1.69677734e+01;-3.64092026e+01
1.70288086e+01;-3.59386597e+01
1.70898438e+01;-3.54861450e+01
1.71508789e+01;-3.49485359e+01
1.72119141e+01;-3.46319008e+01
1.72729492e+01;-3.44134331e+01
1.73339844e+01;-3.40579834e+01
1.73950195e+01;-3.33628960e+01
1.74560547e+01;-3.27753601e+01
1.75170898e+01;-3.23868523e+01
1.75781250e+01;-3.20557213e+01
1.76391602e+01;-3.17726936e+01
1.77001953e+01;-3.17751522e+01
1.77612305e+01;-3.18295555e+01
1.78222656e+01;-3.17160664e+01
1.78833008e+01;-3.14224072e+01
1.79443359e+01;-3.12017574e+01
1.80053711e+01;-3.08988800e+01
1.80664062e+01;-3.06104527e+01
1.81274414e+01;-3.01780720e+01
1.81884766e+01;-2.97495289e+01
1.82495117e+01;-2.94259319e+01
1.83105469e+01;-2.89469814e+01
1.83715820e+01;-2.86642284e+01
1.84326172e+01;-2.86016445e+01
1.84936523e+01;-2.85259590e+01
1.85546875e+01;-2.85309677e+01
1.86157227e+01;-2.87019863e+01
1.86767578e+01;-2.89895229e+01
1.87377930e+01;-2.93501492e+01
1.87988281e+01;-2.94877453e+01
1.88598633e+01;-2.96585712e+01
1.89208984e+01;-2.96464291e+01
1.89819336e+01;-2.95347862e+01
1.90429688e+01;-2.97214336e+01
1.91040039e+01;-2.98216553e+01
1.91650391e+01;-2.95936298e+01
1.92260742e+01;-2.94746189e+01
1.92871094e+01;-2.92342739e+01
1.93481445e+01;-2.91432056e+01
1.94091797e+01;-2.93616180e+01
1.94702148e+01;-2.96478634e+01
1.95312500e+01;-2.99762745e+01
1.95922852e+01;-3.01287670e+01
1.96533203e+01;-3.03661289e+01
1.97143555e+01;-3.06715031e+01
1.97753906e+01;-3.08337917e+01
1.98364258e+01;-3.11394615e+01
1.98974609e+01;-3.12493286e+01
1.99584961e+01;-3.10603065e+01
2.00195312e+01;-3.10339680e+01
2.00805664e+01;-3.09594917e+01
2.01416016e+01;-3.07761860e+01
2.02026367e+01;-3.07000256e+01
2.02636719e+01;-3.07350426e+01
2.03247070e+01;-3.08354282e+01
2.03857422e+01;-3.09126205e+01
2.04467773e+01;-3.10592880e+01
2.05078125e+01;-3.12866573e+01
2.05688477e+01;-3.13988590e+01
2.06298828e+01;-3.15405464e+01
2.06909180e+01;-3.18364220e+01
2.07519531e+01;-3.21360741e+01
2.08129883e+01;-3.23766212e+01
2.08740234e+01;-3.25984001e+01
2.09350586e+01;-3.29530640e+01
2.09960938e+01;-3.34198151e+01
2.10571289e+01;-3.36302338e+01
2.11181641e+01;-3.37225533e+01
2.11791992e+01;-3.40011139e+01
2.12402344e+01;-3.43102455e+01
2.13012695e+01;-3.44277611e+01
2.13623047e+01;-3.45329399e+01
2.14233398e+01;-3.47136345e+01
2.14843750e+01;-3.48260651e+01
2.15454102e+01;-3.49716682e+01
2.16064453e+01;-3.53329544e+01
2.16674805e+01;-3.57183762e+01
2.17285156e+01;-3.59292717e+01
2.17895508e+01;-3.61404037e+01
2.18505859e+01;-3.64060822e+01
2.19116211e+01;-3.66811142e+01
2.19726562e+01;-3.67931671e+01
2.20336914e+01;-3.68362656e+01
2.20947266e+01;-3.67560005e+01
2.21557617e+01;-3.68655930e+01
2.22167969e+01;-3.72232056e+01
2.22778320e+01;-3.74922180e+01
2.23388672e+01;-3.77246208e+01
2.23999023e+01;-3.78797035e+01
2.24609375e+01;-3.80022392e+01
2.25219727e+01;-3.83187294e+01
2.25830078e+01;-3.86189804e+01
2.26440430e+01;-3.88553352e+01
2.27050781e+01;-3.89417267e+01
2.27661133e+01;-3.91696205e+01
2.28271484e+01;-3.93819199e+01
2.28881836e+01;-3.94481468e+01
2.29492188e+01;-3.95051804e+01
2.30102539e+01;-3.96629562e+01
2.30712891e+01;-3.97491722e+01
2.31323242e+01;-3.97421646e+01
2.31933594e+01;-3.99061737e+01
2.32543945e+01;-4.00183716e+01
2.33154297e+01;-3.99425392e+01
2.33764648e+01;-3.98901405e+01
2.34375000e+01;-3.97195854e+01
2.34985352e+01;-3.96691399e+01
2.35595703e+01;-3.95709572e+01
2.36206055e+01;-3.95690422e+01
2.36816406e+01;-3.96739120e+01
2.37426758e+01;-3.97976685e+01
2.38037109e+01;-3.99436340e+01
2.38647461e+01;-4.00730247e+01
2.39257812e+01;-4.01303406e+01
2.39868164e+01;-3.99875679e+01
2.40478516e+01;-3.96046562e+01
2.41088867e+01;-3.93231773e+01
2.41699219e+01;-3.89660835e+01
2.42309570e+01;-3.84457817e+01
2.42919922e+01;-3.79552956e+01
2.43530273e+01;-3.75891953e+01
2.44140625e+01;-3.73936501e+01
2.44750977e+01;-3.72397690e+01
2.45361328e+01;-3.72452850e+01
2.45971680e+01;-3.73513260e+01
2.46582031e+01;-3.73366432e+01
2.47192383e+01;-3.75029907e+01
2.47802734e+01;-3.78139954e+01
2.48413086e+01;-3.80566597e+01
2.49023438e+01;-3.83101883e+01
2.49633789e+01;-3.85473938e+01
2.50244141e+01;-3.88041229e+01
2.50854492e+01;-3.90476379e+01
2.51464844e+01;-3.92174034e+01
2.52075195e+01;-3.94834633e+01
2.52685547e+01;-3.95174065e+01
2.53295898e+01;-3.95509415e+01
2.53906250e+01;-3.95526390e+01
2.54516602e+01;-3.94676361e+01
2.55126953e+01;-3.94398193e+01
2.55737305e+01;-3.93941383e+01
