; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.203125e-12, -338.4614664e-6, -521.5584399e-6
-2.197265625e-12, -315.1075631e-6, -521.7222162e-6
-2.19140625e-12, -272.1150054e-6, -490.7645439e-6
-2.185546875e-12, -208.1137599e-6, -437.346483e-6
-2.1796875e-12, -127.3751688e-6, -372.4718066e-6
-2.173828125e-12, -39.31674669e-6, -306.744594e-6
-2.16796875e-12, 43.35727716e-6, -247.9582214e-6
-2.162109375e-12, 107.3956258e-6, -199.6367069e-6
-2.15625e-12, 141.92576e-6, -160.8926719e-6
-2.150390625e-12, 140.8501617e-6, -127.5981953e-6
-2.14453125e-12, 104.1533496e-6, -94.48784364e-6
-2.138671875e-12, 37.84044932e-6, -57.54245929e-6
-2.1328125e-12, -47.43955776e-6, -15.92492596e-6
-2.126953125e-12, -138.723552e-6, 27.11955073e-6
-2.12109375e-12, -223.4339138e-6, 64.67263045e-6
-2.115234375e-12, -291.782747e-6, 87.75036268e-6
-2.109375e-12, -338.2976898e-6, 87.65891787e-6
-2.103515625e-12, -362.124176e-6, 58.45066655e-6
-2.09765625e-12, -366.0990668e-6, -1.178581385e-6
-2.091796875e-12, -354.94023e-6, -87.04721942e-6
-2.0859375e-12, -333.1487376e-6, -189.9154539e-6
-2.080078125e-12, -303.291095e-6, -297.0776026e-6
-2.07421875e-12, -265.1922037e-6, -394.7314831e-6
-2.068359375e-12, -216.2700443e-6, -470.5546478e-6
-2.0625e-12, -152.8796013e-6, -515.8733073e-6
-2.056640625e-12, -72.22313021e-6, -526.9173215e-6
-2.05078125e-12, 25.78073157e-6, -504.8949129e-6
-2.044921875e-12, 137.2552321e-6, -454.9395139e-6
-2.0390625e-12, 254.1496401e-6, -384.2933443e-6
-2.033203125e-12, 365.1584403e-6, -300.3024685e-6
-2.02734375e-12, 457.5786717e-6, -208.8334773e-6
-2.021484375e-12, 519.6643637e-6, -113.5642933e-6
-2.015625e-12, 542.9103549e-6, -16.30008209e-6
-2.009765625e-12, 523.7138504e-6, 81.87897941e-6
-2.00390625e-12, 464.0159272e-6, 179.1030231e-6
-1.998046875e-12, 370.7831661e-6, 271.4087548e-6
-1.9921875e-12, 254.4914451e-6, 352.1502141e-6
-1.986328125e-12, 127.0401906e-6, 412.3998293e-6
-1.98046875e-12, -325.0109893e-9, 442.3121582e-6
-1.974609375e-12, -118.5257491e-6, 433.1356347e-6
-1.96875e-12, -221.2413586e-6, 379.3645652e-6
-1.962890625e-12, -304.5305861e-6, 280.4698092e-6
-1.95703125e-12, -365.7617819e-6, 141.7395753e-6
-1.951171875e-12, -402.352214e-6, -26.02443721e-6
-1.9453125e-12, -410.8650166e-6, -207.9272939e-6
-1.939453125e-12, -386.8740448e-6, -387.2053291e-6
-1.93359375e-12, -325.7356559e-6, -547.7323224e-6
-1.927734375e-12, -224.0951605e-6, -676.2117767e-6
-1.921875e-12, -81.70206801e-6, -763.5565007e-6
-1.916015625e-12, 97.01609957e-6, -805.2050486e-6
-1.91015625e-12, 302.1378567e-6, -800.4519855e-6
-1.904296875e-12, 518.5291526e-6, -751.1679932e-6
-1.8984375e-12, 727.2905064e-6, -660.4530897e-6
-1.892578125e-12, 908.1417147e-6, -531.7438098e-6
-1.88671875e-12, 1.042267958e-3, -368.6942917e-6
-1.880859375e-12, 1.115017156e-3, -175.8462924e-6
-1.875e-12, 1.117860913e-3, 40.19929647e-6
-1.869140625e-12, 1.04921512e-3, 269.5985945e-6
-1.86328125e-12, 914.0184586e-6, 498.6003017e-6
-1.857421875e-12, 722.301616e-6, 709.8100638e-6
-1.8515625e-12, 487.2407338e-6, 883.5464102e-6
-1.845703125e-12, 223.2868089e-6, 1.000150559e-3
-1.83984375e-12, -55.13549321e-6, 1.042837686e-3
-1.833984375e-12, -334.1239147e-6, 1.000499601e-3
-1.828125e-12, -600.0765242e-6, 869.8369031e-6
-1.822265625e-12, -839.1117824e-6, 656.3276962e-6
-1.81640625e-12, -1.036624918e-3, 373.8046216e-6
-1.810546875e-12, -1.17743254e-3, 42.74630002e-6
-1.8046875e-12, -1.246761712e-3, -312.3006232e-6
-1.798828125e-12, -1.232057089e-3, -665.5628251e-6
-1.79296875e-12, -1.125295419e-3, -992.5329457e-6
-1.787109375e-12, -925.2902717e-6, -1.271681714e-3
-1.78125e-12, -639.3973891e-6, -1.485259983e-3
-1.775390625e-12, -284.1147949e-6, -1.619376179e-3
-1.76953125e-12, 115.7043873e-6, -1.663751703e-3
-1.763671875e-12, 528.9975548e-6, -1.611606175e-3
-1.7578125e-12, 921.650567e-6, -1.460000713e-3
-1.751953125e-12, 1.260088078e-3, -1.21072497e-3
-1.74609375e-12, 1.514638392e-3, -871.5400897e-6
-1.740234375e-12, 1.662120511e-3, -457.3736219e-6
-1.734375e-12, 1.687356809e-3, 9.031871419e-6
-1.728515625e-12, 1.583632987e-3, 497.4603226e-6
-1.72265625e-12, 1.352396112e-3, 971.8067421e-6
-1.716796875e-12, 1.002610213e-3, 1.392877849e-3
-1.7109375e-12, 550.1422056e-6, 1.722084304e-3
-1.705078125e-12, 17.36198302e-6, 1.925466162e-3
-1.69921875e-12, -567.1077034e-6, 1.977391826e-3
-1.693359375e-12, -1.168766602e-3, 1.863337336e-3
-1.6875e-12, -1.748111167e-3, 1.581372088e-3
-1.681640625e-12, -2.26233596e-3, 1.142282387e-3
-1.67578125e-12, -2.668015418e-3, 568.5561284e-6
-1.669921875e-12, -2.9246635e-3, -107.366029e-6
-1.6640625e-12, -2.998802481e-3, -845.1498819e-6
-1.658203125e-12, -2.867969225e-3, -1.598650556e-3
-1.65234375e-12, -2.5240086e-3, -2.317952094e-3
-1.646484375e-12, -1.975080329e-3, -2.95150086e-3
-1.640625e-12, -1.246025902e-3, -3.448572054e-3
-1.634765625e-12, -377.0497085e-6, -3.762268463e-3
-1.62890625e-12, 579.0251529e-6, -3.853082452e-3
-1.623046875e-12, 1.560453083e-3, -3.692813317e-3
-1.6171875e-12, 2.500683149e-3, -3.268398773e-3
-1.611328125e-12, 3.332468205e-3, -2.585064475e-3
-1.60546875e-12, 3.991742233e-3, -1.668170997e-3
-1.599609375e-12, 4.421254911e-3, -563.2635262e-6
-1.59375e-12, 4.574078552e-3, 665.9131173e-6
-1.587890625e-12, 4.41708897e-3, 1.941339741e-3
-1.58203125e-12, 3.934376861e-3, 3.176171181e-3
-1.576171875e-12, 3.130331209e-3, 4.281064379e-3
-1.5703125e-12, 2.031937547e-3, 5.170673681e-3
-1.564453125e-12, 689.7302584e-6, 5.769699688e-3
-1.55859375e-12, -823.1230158e-6, 6.018096177e-3
-1.552734375e-12, -2.41393867e-3, 5.875286559e-3
-1.546875e-12, -3.975865169e-3, 5.323419392e-3
-1.541015625e-12, -5.395133797e-3, 4.369737871e-3
-1.53515625e-12, -6.559557548e-3, 3.048047921e-3
-1.529296875e-12, -7.367408804e-3, 1.419100952e-3
-1.5234375e-12, -7.735759448e-3, -430.4480926e-6
-1.517578125e-12, -7.607496499e-3, -2.390903187e-3
-1.51171875e-12, -6.956486592e-3, -4.334514862e-3
-1.505859375e-12, -5.790665948e-3, -6.122662001e-3
-1.5e-12, -4.153081026e-3, -7.614963986e-3
-1.494140625e-12, -2.121029351e-3, -8.679704996e-3
-1.48828125e-12, 196.5626336e-6, -9.20465956e-3
-1.482421875e-12, 2.663488472e-3, -9.107249686e-3
-1.4765625e-12, 5.122401828e-3, -8.342982559e-3
-1.470703125e-12, 7.402825618e-3, -6.911314024e-3
-1.46484375e-12, 9.330984854e-3, -4.858408929e-3
-1.458984375e-12, 0.01074116681, -2.276639278e-3
-1.453125e-12, 0.01148799217, 699.0198392e-6
-1.447265625e-12, 0.01145867809, 3.897338039e-3
-1.44140625e-12, 0.010584172, 7.119501255e-3
-1.435546875e-12, 8.847993604e-3, 0.01014972116
-1.4296875e-12, 6.291763445e-3, 0.01276744518
-1.423828125e-12, 3.016702104e-3, 0.01476081239
-1.41796875e-12, -819.2040854e-6, 0.01594087266
-1.412109375e-12, -5.008240348e-3, 0.01615586304
-1.40625e-12, -9.303704781e-3, 0.01530458175
-1.400390625e-12, -0.01343361473, 0.01334771021
-1.39453125e-12, -0.01711654217, 0.01031588485
-1.388671875e-12, -0.02007874834, 6.313458742e-3
-1.3828125e-12, -0.02207182392, 1.517210821e-3
-1.376953125e-12, -0.0228900339, -3.830287704e-3
-1.37109375e-12, -0.02238648233, -9.43243235e-3
-1.365234375e-12, -0.02048707222, -0.01495477325
-1.359375e-12, -0.01720111143, -0.02004456414
-1.353515625e-12, -0.01262739639, -0.02435238877
-1.34765625e-12, -6.954761325e-3, -0.02755452356
-1.341796875e-12, -456.432157e-6, -0.02937475408
-1.3359375e-12, 6.521964088e-3, -0.02960446518
-1.330078125e-12, 0.0135802922, -0.02811990599
-1.32421875e-12, 0.02028668891, -0.02489556359
-1.318359375e-12, 0.02620375086, -0.0200125891
-1.3125e-12, 0.03091635931, -0.01366127861
-1.306640625e-12, 0.03405927583, -6.136798259e-3
-1.30078125e-12, 0.03534272757, 2.172291787e-3
-1.294921875e-12, 0.03457440995, 0.01080261952
-1.2890625e-12, 0.03167659503, 0.01924094879
-1.283203125e-12, 0.02669728425, 0.02695410409
-1.27734375e-12, 0.01981455881, 0.03342194873
-1.271484375e-12, 0.01133348582, 0.03817115517
-1.265625e-12, 1.675194699e-3, 0.04080740895
-1.259765625e-12, -8.641890643e-3, 0.04104382225
-1.25390625e-12, -0.01902816434, 0.03872365234
-1.248046875e-12, -0.02885517354, 0.03383585127
-1.2421875e-12, -0.03749241035, 0.02652244026
-1.236328125e-12, -0.04434625041, 0.01707714669
-1.23046875e-12, -0.04889838944, 5.935141998e-3
-1.224609375e-12, -0.05074106114, -6.345905708e-3
-1.21875e-12, -0.04960652913, -0.01911285169
-1.212890625e-12, -0.04538878398, -0.03165109241
-1.20703125e-12, -0.03815596356, -0.04322397574
-1.201171875e-12, -0.02815266165, -0.05311545354
-1.1953125e-12, -0.01579191984, -0.06067336608
-1.189453125e-12, -1.637264682e-3, -0.0653504829
-1.18359375e-12, 0.01362435743, -0.06674043577
-1.177734375e-12, 0.02921746161, -0.06460598888
-1.171875e-12, 0.04431902746, -0.05889765618
-1.166015625e-12, 0.05810352522, -0.04976140612
-1.16015625e-12, 0.06978948343, -0.0375349809
-1.154296875e-12, 0.07868481593, -0.02273310718
-1.1484375e-12, 0.0842279981, -6.022523497e-3
-1.142578125e-12, 0.0860223107, 0.01181172635
-1.13671875e-12, 0.08386079004, 0.02990687833
-1.130859375e-12, 0.07774020274, 0.04736774024
-1.125e-12, 0.06786320869, 0.0633142692
-1.119140625e-12, 0.05462876108, 0.07692882371
-1.11328125e-12, 0.03861159907, 0.08750037653
-1.107421875e-12, 0.02053233728, 0.09446301554
-1.1015625e-12, 1.220115319e-3, 0.0974263084
-1.095703125e-12, -0.01842994777, 0.0961956043
-1.08984375e-12, -0.03750210647, 0.09078107507
-1.083984375e-12, -0.05510571764, 0.08139517773
-1.078125e-12, -0.07041894308, 0.06843912158
-1.072265625e-12, -0.08272812593, 0.0524797099
-1.06640625e-12, -0.09146074367, 0.03421849944
-1.060546875e-12, -0.09621018135, 0.0144555411
-1.0546875e-12, -0.09675107805, -5.949947982e-3
-1.048828125e-12, -0.09304467198, -0.02611971822
-1.04296875e-12, -0.08523434573, -0.04519535901
-1.037109375e-12, -0.07363234696, -0.06237408836
-1.03125e-12, -0.05869930298, -0.07693991955
-1.025390625e-12, -0.04101855477, -0.08828897503
-1.01953125e-12, -0.02126745993, -0.09594808182
-1.013671875e-12, -187.6782999e-6, -0.09958622001
-1.0078125e-12, 0.02144386175, -0.09901890294
-1.001953125e-12, 0.04284201769, -0.09420610873
-996.09375e-15, 0.06323760906, -0.08524488242
-990.234375e-15, 0.08189817248, -0.07235809299
-984.375e-15, 0.09814505616, -0.05588097419
-978.515625e-15, 0.1113668821, -0.03624696529
-972.65625e-15, 0.1210296573, -0.01397402434
-966.796875e-15, 0.1266840608, 0.01034789889
-960.9375e-15, 0.1279706559, 0.03606805106
-955.078125e-15, 0.1246239326, 0.06248497124
-949.21875e-15, 0.1164761158, 0.08885602333
-943.359375e-15, 0.1034615358, 0.1144070277
-937.5e-15, 0.08562202656, 0.1383426728
-931.640625e-15, 0.06311333852, 0.1598583365
-925.78125e-15, 0.0362120138, 0.1781538559
-919.921875e-15, 5.321691419e-3, 0.1924496696
-914.0625e-15, -0.02902249592, 0.2020055876
-908.203125e-15, -0.06615284523, 0.2061422142
-902.34375e-15, -0.1052725793, 0.2042647146
-896.484375e-15, -0.1454648375, 0.1958881991
-890.625e-15, -0.185707667, 0.1806635298
-884.765625e-15, -0.2248950905, 0.158401923
-878.90625e-15, -0.2618639272, 0.1290964251
-873.046875e-15, -0.2954256764, 0.09293827283
-867.1875e-15, -0.3244024273, 0.05032636304
-861.328125e-15, -0.3476654196, 1.868520224e-3
-855.46875e-15, -0.3641745547, -0.05162610545
-849.609375e-15, -0.3730168789, -0.1091634833
-843.75e-15, -0.3734418899, -0.1695893203
-837.890625e-15, -0.3648915211, -0.2316206625
-832.03125e-15, -0.3470228881, -0.2938829135
-826.171875e-15, -0.3197223602, -0.3549504474
-820.3125e-15, -0.283110197, -0.4133888336
-814.453125e-15, -0.2375357653, -0.467796615
-808.59375e-15, -0.1835641102, -0.516844593
-802.734375e-15, -0.1219552582, -0.5593107149
-796.875e-15, -0.05363802842, -0.594108949
-791.015625e-15, 0.02031970797, -0.6203109987
-785.15625e-15, 0.09874239847, -0.6371603132
-779.296875e-15, 0.1803780313, -0.6440785542
-773.4375e-15, 0.2639276518, -0.6406653546
-767.578125e-15, 0.3480718904, -0.6266927636
-761.71875e-15, 0.4314935606, -0.6020960985
-755.859375e-15, 0.5128957971, -0.5669629793
-750e-15, 0.5910156897, -0.52152213
-744.140625e-15, 0.6646338882, -0.466133161
-738.28125e-15, 0.7325811425, -0.4012781042
-732.421875e-15, 0.7937431152, -0.3275550341
-726.5625e-15, 0.8470649791, -0.2456737299
-720.703125e-15, 0.8915572385, -0.1564530079
-714.84375e-15, 0.9263038862, -0.06081906898
-708.984375e-15, 0.9504734851, 0.04019604104
-703.125e-15, 0.9633331547, 0.1454569673
-697.265625e-15, 0.964264866, 0.253729796
-691.40625e-15, 0.9527830031, 0.363690202
-685.546875e-15, 0.9285518882, 0.4739359572
-679.6875e-15, 0.8914018748, 0.5830043482
-673.828125e-15, 0.841342654, 0.6893944888
-667.96875e-15, 0.7785725429, 0.7915938807
-662.109375e-15, 0.7034827172, 0.8881079893
-656.25e-15, 0.6166556071, 0.9774911701
-650.390625e-15, 0.5188570287, 1.058377082
-644.53125e-15, 0.4110220713, 1.129506775
-638.671875e-15, 0.2942352859, 1.189752899
-632.8125e-15, 0.1697062523, 1.238138876
-626.953125e-15, 0.03874207052, 1.273852302
-621.09375e-15, -0.09728139041, 1.296252309
-615.234375e-15, -0.2369475844, 1.304870969
-609.375e-15, -0.3788250153, 1.299409285
-603.515625e-15, -0.5214893064, 1.279728615
-597.65625e-15, -0.6635408662, 1.245838777
-591.796875e-15, -0.8036179874, 1.197884298
-585.9375e-15, -0.940405716, 1.136130392
-580.078125e-15, -1.072641205, 1.060950155
-574.21875e-15, -1.199116494, 0.9728141404
-568.359375e-15, -1.31867978, 0.8722829911
-562.5e-15, -1.430236264, 0.7600032059
-556.640625e-15, -1.532749638, 0.6367055236
-550.78125e-15, -1.62524515, 0.5032049491
-544.921875e-15, -1.706814944, 0.3604011708
-539.0625e-15, -1.77662603, 0.2092780828
-533.203125e-15, -1.83393076, 0.05090127556
-527.34375e-15, -1.878079177, -0.1135873458
-521.484375e-15, -1.908532175, -0.282978317
-515.625e-15, -1.924874049, -0.4560068898
-509.765625e-15, -1.926822999, -0.6313686383
-503.90625e-15, -1.914238223, -0.8077378738
-498.046875e-15, -1.887122688, -0.9837880206
-492.1875e-15, -1.845621089, -1.158212806
-486.328125e-15, -1.7900131, -1.329746896
-480.46875e-15, -1.720702434, -1.497184552
-474.609375e-15, -1.638202622, -1.659394995
-468.75e-15, -1.543120619, -1.815333513
-462.890625e-15, -1.436139456, -1.964047853
-457.03125e-15, -1.318001179, -2.104679995
-451.171875e-15, -1.189491247, -2.236463986
-445.3125e-15, -1.051425436, -2.358720888
-439.453125e-15, -0.90463996, -2.470852155
-433.59375e-15, -0.749985179, -2.572332724
-427.734375e-15, -0.588322719, -2.662704963
-421.875e-15, -0.4205253441, -2.741574338
-416.015625e-15, -0.2474784916, -2.808607327
-410.15625e-15, -0.07008214355, -2.863531788
-404.296875e-15, 0.1107483008, -2.906139675
-398.4375e-15, 0.2940832582, -2.936291649
-392.578125e-15, 0.4789830005, -2.95392286
-386.71875e-15, 0.6645047094, -2.959048892
-380.859375e-15, 0.8497122698, -2.951770699
-375e-15, 1.033688135, -2.932277375
-369.140625e-15, 1.215546341, -2.900845809
-363.28125e-15, 1.394445605, -2.857836683
-357.421875e-15, 1.569601439, -2.803686759
-351.5625e-15, 1.740296266, -2.738897982
-345.703125e-15, 1.905886667, -2.664024331
-339.84375e-15, 2.065807153, -2.579657661
-333.984375e-15, 2.219570161, -2.486413814
-328.125e-15, 2.366762475, -2.384920184
-322.265625e-15, 2.507038662, -2.275805642
-316.40625e-15, 2.640112602, -2.15969337
-310.546875e-15, 2.765748371, -2.037196848
-304.6875e-15, 2.883751828, -1.908918834
-298.828125e-15, 2.993964026, -1.775452914
-292.96875e-15, 3.096257195, -1.637386883
-287.109375e-15, 3.190533571, -1.495306984
-281.25e-15, 3.276726856, -1.34980191
-275.390625e-15, 3.354805719, -1.201465452
-269.53125e-15, 3.424778469, -1.050896887
-263.671875e-15, 3.486697939, -0.8986985784
-257.8125e-15, 3.540665626, -0.7454707561
-251.953125e-15, 3.586834242, -0.5918039519
-246.09375e-15, 3.625407994, -0.4382700035
-240.234375e-15, 3.656640192, -0.285412778
-234.375e-15, 3.680828061, -0.1337397983
-228.515625e-15, 3.698305058, 0.01628421228
-222.65625e-15, 3.709431353, 0.1642411644
-216.796875e-15, 3.714583475, 0.3097604914
-210.9375e-15, 3.714144309, 0.4525171468
-205.078125e-15, 3.708494597, 0.5922271021
-199.21875e-15, 3.698006838, 0.7286410028
-193.359375e-15, 3.683042087, 0.8615368446
-187.5e-15, 3.663949659, 0.9907126529
-181.640625e-15, 3.641069294, 1.115980166
-175.78125e-15, 3.614734998, 1.237160413
-169.921875e-15, 3.585279605, 1.354081796
-164.0625e-15, 3.553039074, 1.466580895
-158.203125e-15, 3.51835566, 1.574505709
-152.34375e-15, 3.481579306, 1.677720619
-146.484375e-15, 3.443066842, 1.776112031
-140.625e-15, 3.403178901, 1.869593533
-134.765625e-15, 3.362274764, 1.95810956
-128.90625e-15, 3.320705664, 2.041636805
-123.046875e-15, 3.278807387, 2.120183051
