Trace
Log Plot
A.29.04,N9000B
11306.6339794964,-52.081412711193
11481.5362149688,-52.2224115266862
11659.1440117983,-53.3380562536092
11839.499222293,-53.6130073628795
12022.6443461741,-53.1161654625229
12208.6225405907,-56.9174876092895
12397.4776302894,-58.8184458112626
12589.2541179417,-55.010779779906
12783.9971946302,-55.3709623285503
12981.7527504985,-53.3083330276763
13182.5673855641,-52.2174833822649
13386.4884206999,-55.0299510027979
13593.5639087853,-56.5751878182524
13803.8426460289,-58.1781557411271
14017.3741834677,-59.7790177031705
14234.2088386434,-54.2009011974919
14454.3977074593,-58.13905020888
14677.9926762207,-54.8372960041294
14905.046433862,-55.071501623172
15135.6124843621,-57.2152174137195
15369.7451593527,-51.2498876063511
15607.4996309211,-52.23389173482
15848.9319246111,-57.4287953495489
16094.0989326253,-56.2397155045479
16343.0584272314,-53.5854866188405
16595.8690743756,-54.9562411212205
16852.5904475075,-55.5749938023682
17113.2830416178,-56.6885829484092
17378.0082874938,-57.1945117786761
17646.828566195,-58.959750088001
17919.8072237533,-60.5875948186691
18197.0085860998,-56.4473423659067
18478.4979742229,-57.0934590866984
18764.3417195609,-57.2827369980662
19054.6071796325,-59.1286325141142
19349.3627539095,-59.2727363336269
19648.6778999347,-59.2286101396912
19952.6231496888,-63.863557748051
20261.2701262114,-61.2348577163226
20574.6915604784,-59.6353381687393
20892.9613085404,-57.9893546960801
21216.1543689268,-60.8064038143758
21544.3469003188,-56.9265299641779
21877.6162394955,-60.4541325565655
22216.0409195581,-61.7393310604636
22559.7006884358,-63.0521959315057
22908.6765276777,-61.5163086563422
23263.0506715363,-61.0003612451728
23622.9066263446,-63.1262630181622
23988.3291901949,-61.4439129528469
24359.4044729203,-60.1637654482532
24736.2199163862,-59.6897497147196
25118.8643150958,-58.6957826374712
25507.4278371136,-63.1516221441928
25902.0020453133,-66.2120700408495
26302.6799189538,-64.6387595155923
26709.5558755899,-60.8430987034642
27122.7257933203,-61.8050578001071
27542.2870333817,-58.537862200969
27968.3384630908,-58.265005890861
28400.9804791421,-64.1069166985877
28840.3150312661,-65.3777697520936
29286.4456462524,-60.9389841209313
29739.477452346,-61.757375609414
30199.5172040202,-62.4339001641464
30666.6733071318,-62.0665458932385
31141.0558444676,-64.6156091710445
31622.7766016838,-64.2762081266981
32111.9490936482,-64.9947624527625
32608.6885911893,-62.3098184462081
33113.1121482591,-61.4021481972322
33625.3386295163,-63.7880734261172
34145.488738336,-71.2161141725981
34673.6850452532,-68.0063125826318
35210.0520168452,-65.4567545733045
35754.7160450621,-64.9320503057154
36307.8054770101,-64.1477760916212
36869.4506451958,-64.3607612219404
37439.7838982381,-67.8973630388563
38018.9396320561,-68.9688403747972
38607.0543215381,-64.4347712296017
39204.2665527015,-64.6618200315341
39810.7170553497,-62.7397579289684
40426.5487362344,-61.8459879317282
41051.9067127308,-65.0858773753904
41686.9383470336,-64.8167177742374
42331.7932808821,-70.6148903567143
42986.6234708228,-64.6828166124128
43651.5832240166,-67.0047422384488
44326.8292346009,-67.999079547185
45012.5206206134,-67.7323407250594
45708.8189614875,-66.8731532069277
46415.8883361278,-70.3109383451003
47133.895361574,-68.8717607589067
47863.0092322639,-66.0298157312911
48603.4017599022,-66.669599432115
49355.2474139481,-70.302698453903
50118.7233627272,-66.5806281632911
50894.0095151809,-66.3128087993665
51681.2885632604,-71.0134874390555
52480.7460249773,-65.5954331908925
53292.57028812,-70.6189966458966
54116.9526546464,-68.1983133676449
54954.0873857625,-70.0020355183013
55804.1717476996,-70.3866838273295
56667.4060581991,-74.3246209438235
57543.9937337157,-68.7369653459545
58434.1413373517,-74.3936407968585
59338.0586275328,-70.8850504078721
60255.9586074358,-71.593330120305
61188.0575751822,-69.4931769547304
62134.5751748076,-71.498490593078
63095.7344480193,-71.3382385217767
64071.7618867554,-71.9394308183816
65062.8874865557,-69.7297257671417
66069.3448007596,-72.9574873991048
67091.3709955411,-76.4387595746516
68129.2069057961,-72.2440353278381
69183.0970918936,-71.4772158553515
70253.2898973052,-71.5479651520121
71340.0375071256,-75.3393763989031
72443.596007499,-74.4742517494017
73564.2254459641,-73.918149140146
74702.1898927332,-73.4337029758003
75857.7575029183,-71.5217145880664
77031.2005797215,-72.4663629031798
78222.7956386003,-69.7443613860033
79432.8234724281,-71.2704630355955
80661.5692176614,-72.5229787991939
81909.3224215298,-70.6716514031393
83176.3771102671,-72.3095728479654
84463.0318583969,-68.914971601198
85769.5898590894,-70.7725266304213
87096.3589956081,-74.1873961998079
88443.65191386,-77.6569917862123
89811.7860960694,-74.5096409014773
91201.083935591,-75.7220645072517
92611.8728128794,-74.5992246228095
94044.4851726351,-75.5024425198138
95499.2586021436,-74.6607442983159
96976.535910825,-74.6928078714428
98476.6652110158,-76.6326538315335
100000,-75.8523359344257
101546.899243308,-78.9113879841655
103117.727459306,-75.4981533308463
104712.85480509,-74.3712857617601
106332.657163716,-76.7046152409514
107977.516232771,-77.6846341472285
109647.819614319,-77.1097924249298
111343.960906236,-81.5354341715189
113066.339794964,-77.9388785920248
114815.362149688,-72.944537111856
116591.440117983,-77.6155267433169
118394.99222293,-73.6679685712098
120226.443461741,-75.3975108066971
122086.225405907,-75.5473546796847
123974.776302894,-77.1493034506999
125892.541179417,-80.2757243178096
127839.971946302,-72.6486308333827
129817.527504985,-72.8197195646869
131825.673855641,-77.3149908739271
133864.884206999,-76.431605126377
135935.639087853,-75.7170490561475
138038.426460289,-78.4655163842928
140173.741834677,-75.6522186315418
142342.088386434,-78.2052139400965
144543.977074593,-80.6389769703355
146779.926762207,-78.5419802363652
149050.46433862,-78.5593204502103
151356.124843621,-79.1243870810244
153697.451593527,-81.4136708039526
156074.996309211,-78.0573883433458
158489.319246111,-79.2859442524228
160940.989326253,-82.5853444210359
163430.584272314,-79.2714527600704
165958.690743756,-80.595467068757
168525.904475075,-76.8298165807177
171132.830416178,-77.0184183761714
173780.082874938,-81.6378254869245
176468.28566195,-79.5984330428363
179198.072237533,-79.0523158974942
181970.085860998,-80.3006213877906
184784.979742229,-81.6469161214806
187643.417195609,-77.2822952158836
190546.071796325,-86.801262534314
193493.627539095,-82.621068796194
196486.778999347,-82.6459370948847
199526.231496888,-82.4036591319844
202612.701262114,-79.179064296255
205746.915604784,-78.2140758197448
208929.613085404,-78.7912939673183
212161.543689268,-83.2299408026552
215443.469003188,-82.4465274850863
218776.162394955,-82.8637416955809
222160.409195581,-80.4829830493777
225597.006884358,-83.9678155926755
229086.765276777,-82.7545544617889
232630.506715363,-84.7589442774029
236229.066263446,-83.0654824752875
239883.291901949,-81.9468207203207
243594.044729203,-84.5328883142403
247362.199163862,-82.6453438070091
251188.643150958,-85.8920815530091
255074.278371136,-83.033608497415
259020.020453133,-84.1527036418159
263026.799189538,-85.5713831640131
267095.558755899,-84.2621128646774
