Trace
Log Plot
A.29.04,N9000B
29739.477452346,-62.7717118572418
30199.5172040202,-62.9211431524048
30666.6733071318,-62.9499956027764
31141.0558444676,-63.1640888681817
31622.7766016838,-63.4211326115012
32111.9490936482,-63.5956117656357
32608.6885911893,-63.8137331722172
33113.1121482591,-64.2134859404355
33625.3386295163,-64.3930915716458
34145.488738336,-64.884056427238
34673.6850452532,-65.0657781393929
35210.0520168452,-65.0908426242263
35754.7160450621,-65.1068756809206
36307.8054770101,-65.1011997109161
36869.4506451958,-65.5217465633983
37439.7838982381,-65.5714137036143
38018.9396320561,-65.7662884521776
38607.0543215381,-66.0731735806678
39204.2665527015,-66.1854545997928
39810.7170553497,-66.3607829224815
40426.5487362344,-66.4946210209579
41051.9067127308,-66.759216597619
41686.9383470336,-67.033638241383
42331.7932808821,-67.204845142359
42986.6234708228,-67.5737166796959
43651.5832240166,-67.7464344535867
44326.8292346009,-67.8854296693503
45012.5206206134,-67.9617216007723
45708.8189614875,-68.1604705125023
46415.8883361278,-68.2501545193887
47133.895361574,-68.4128333482272
47863.0092322639,-68.5891487012286
48603.4017599022,-68.7499123125202
49355.2474139481,-68.8812777964422
50118.7233627272,-69.1425513226053
50894.0095151809,-69.3353874391402
51681.2885632604,-69.427305203081
52480.7460249773,-69.5654172961198
53292.57028812,-69.7759427986063
54116.9526546464,-70.0419624978499
54954.0873857625,-70.3639342931867
55804.1717476996,-70.5213451196567
56667.4060581991,-70.6985048606694
57543.9937337157,-70.8342110796522
58434.1413373517,-71.0821086460527
59338.0586275328,-71.3215604748645
60255.9586074358,-71.5768033681061
61188.0575751822,-71.6349355747939
62134.5751748076,-71.9989914979987
63095.7344480193,-72.2249290304965
64071.7618867554,-72.1666459739972
65062.8874865557,-72.1531366373256
66069.3448007596,-72.2696934017297
67091.3709955411,-72.2812937907606
68129.2069057961,-72.6285638707194
69183.0970918936,-72.6915587511669
70253.2898973052,-72.8339653070821
71340.0375071256,-73.0560383456381
72443.596007499,-73.1544638616294
73564.2254459641,-73.1282584572777
74702.1898927332,-73.3274158203872
75857.7575029183,-73.5178238814497
77031.2005797215,-73.7050220821982
78222.7956386003,-73.5524027643459
79432.8234724281,-73.4980360708054
80661.5692176614,-73.6299691989558
81909.3224215298,-73.6605362873184
83176.3771102671,-73.6912476074816
84463.0318583969,-73.7291461183979
85769.5898590894,-73.7842096406061
87096.3589956081,-74.0017700982374
88443.65191386,-73.9364190869802
89811.7860960694,-74.0685838641432
91201.083935591,-74.5111455498946
92611.8728128794,-74.8437347203324
94044.4851726351,-74.9185558500821
95499.2586021436,-75.0156024678409
96976.535910825,-75.2430622058956
98476.6652110158,-75.1564642058071
100000,-75.1203419920684
101546.899243308,-75.1225200244495
103117.727459306,-75.3947984098877
104712.85480509,-75.8127335684347
106332.657163716,-75.6494272690085
107977.516232771,-75.598113359854
109647.819614319,-75.7042894928836
111343.960906236,-75.8738731510222
113066.339794964,-76.1915914749006
114815.362149688,-76.1268622890855
116591.440117983,-76.4419768099001
118394.99222293,-76.5683232805248
120226.443461741,-76.5510779099357
122086.225405907,-76.8206165529026
123974.776302894,-76.7460648757442
125892.541179417,-76.7666909061153
127839.971946302,-77.0063095078532
129817.527504985,-77.0273598980824
131825.673855641,-77.2744426030027
133864.884206999,-77.509201992589
135935.639087853,-77.6852177518799
138038.426460289,-77.5777984246993
140173.741834677,-77.9055087553636
142342.088386434,-78.0136229033385
144543.977074593,-78.1176521171711
146779.926762207,-78.0898402654538
149050.46433862,-78.171539921818
151356.124843621,-78.3772232959698
153697.451593527,-78.6404808229554
156074.996309211,-78.5884892122039
158489.319246111,-78.58963821086
160940.989326253,-78.6985814443015
163430.584272314,-78.9678961448554
165958.690743756,-79.2127255572404
168525.904475075,-79.4700194750494
171132.830416178,-79.8254090185676
173780.082874938,-79.9411792314395
176468.28566195,-80.2404482350807
179198.072237533,-80.4053947202558
181970.085860998,-80.2878836341584
184784.979742229,-80.3938362211921
187643.417195609,-80.4387588620728
190546.071796325,-80.4191652492961
193493.627539095,-80.5545719703755
196486.778999347,-80.7316846023473
199526.231496888,-80.9297274970868
202612.701262114,-81.1248941927313
205746.915604784,-81.2452369629602
208929.613085404,-81.5714055329509
212161.543689268,-81.7688719854297
215443.469003188,-81.9975574345618
218776.162394955,-82.0936366796881
222160.409195581,-82.44278809236
225597.006884358,-82.7733768602204
229086.765276777,-82.9489337245451
232630.506715363,-83.0586696516404
236229.066263446,-83.166764705717
239883.291901949,-83.1695650245675
243594.044729203,-83.185004010221
247362.199163862,-83.274651429328
251188.643150958,-83.3598019273564
255074.278371136,-83.6561681386138
259020.020453133,-83.7849625398826
263026.799189538,-83.8866351460345
267095.558755899,-84.0158863405957
271227.257933203,-84.3041478339459
275422.870333817,-84.3889673907194
279683.384630908,-84.5651948199127
284009.804791421,-84.7521942980087
288403.150312661,-84.9196541128747
292864.456462524,-85.2179948318341
297394.77452346,-85.2447145233828
301995.172040202,-85.2851380742693
