MeasResult
PNOISE:LPL
A.19.05,N9000B
503 EP4 P03 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,True
Cancellation,False
Carrier Frequency,174043309.238646
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,0,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,0,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,10000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6,MeasResult7,MeasResult8
,,464.1589,464.1589,,,,
,,-39.14,-36.8,,,,
,,467.7351,467.7351,,,,
,,-39.42,-36.84,,,,
,,471.339,471.339,,,,
,,-38.09,-36.88,,,,
,,474.9705,474.9705,,,,
,,-37.08,-36.95,,,,
,,478.6301,478.6301,,,,
,,-36.94,-37,,,,
,,482.3178,482.3178,,,,
,,-36.89,-37.09,,,,
,,486.034,486.034,,,,
,,-37.96,-37.12,,,,
,,489.7788,489.7788,,,,
,,-37.22,-37.15,,,,
,,493.5525,493.5525,,,,
,,-36.6,-37.24,,,,
,,497.3552,497.3552,,,,
,,-35.54,-37.26,,,,
,,501.1872,501.1872,,,,
,,-35.41,-37.17,,,,
,,505.0488,505.0488,,,,
,,-37.76,-37.12,,,,
,,508.9401,508.9401,,,,
,,-36.66,-37,,,,
,,512.8614,512.8614,,,,
,,-35.82,-36.95,,,,
,,516.8129,516.8129,,,,
,,-38.29,-36.89,,,,
,,520.7948,520.7948,,,,
,,-37.39,-37.01,,,,
,,524.8075,524.8075,,,,
,,-38.52,-37.05,,,,
,,528.851,528.851,,,,
,,-36.15,-37.09,,,,
,,532.9257,532.9257,,,,
,,-36.57,-37.08,,,,
,,537.0318,537.0318,,,,
,,-37.45,-37.12,,,,
,,541.1695,541.1695,,,,
,,-37.74,-37.11,,,,
,,545.3391,545.3391,,,,
,,-35.77,-37.21,,,,
,,549.5409,549.5409,,,,
,,-35.25,-37.37,,,,
,,553.775,553.775,,,,
,,-36.55,-37.43,,,,
,,558.0417,558.0417,,,,
,,-38.1,-37.54,,,,
,,562.3413,562.3413,,,,
,,-36.82,-37.66,,,,
,,566.6741,566.6741,,,,
,,-39.88,-37.73,,,,
,,571.0402,571.0402,,,,
,,-37.69,-37.78,,,,
,,575.4399,575.4399,,,,
,,-37.86,-37.77,,,,
,,579.8736,579.8736,,,,
,,-37.71,-37.99,,,,
,,584.3414,584.3414,,,,
,,-38.14,-37.98,,,,
,,588.8437,588.8437,,,,
,,-36.35,-38.02,,,,
,,593.3806,593.3806,,,,
,,-37.87,-38.04,,,,
,,597.9525,597.9525,,,,
,,-39.23,-38.14,,,,
,,602.5596,602.5596,,,,
,,-39.1,-38.2,,,,
,,607.2022,607.2022,,,,
,,-39.18,-38.2,,,,
,,611.8806,611.8806,,,,
,,-38.68,-38.19,,,,
,,616.595,616.595,,,,
,,-39.73,-38.15,,,,
,,621.3458,621.3458,,,,
,,-38.63,-37.95,,,,
,,626.1331,626.1331,,,,
,,-38.33,-37.93,,,,
,,630.9573,630.9573,,,,
,,-41.04,-37.96,,,,
,,635.8188,635.8188,,,,
,,-36.44,-37.94,,,,
,,640.7176,640.7176,,,,
,,-38.49,-38,,,,
,,645.6542,645.6542,,,,
,,-38.12,-38.08,,,,
,,650.6289,650.6289,,,,
,,-37.99,-38.21,,,,
,,655.6418,655.6418,,,,
,,-36.72,-38.23,,,,
,,660.6934,660.6934,,,,
