Stage1,Stage2,SNR,Power
0.65, 1, 20.26, 1.476e-3
0.65, 1.25, 20.21, 1.859e-3
0.65, 1.5, 20.16, 2.341e-3
0.65, 1.75, 20.11, 2.948e-3
0.65, 2, 20.05, 3.703e-3
0.65, 2.25, 19.99, 4.646e-3
0.65, 2.5, 19.92, 5.807e-3
0.65, 2.75, 19.83, 7.233e-3
0.65, 3, 19.73, 8.963e-3
0.65, 3.25, 19.6, 0.01103
0.65, 3.5, 19.44, 0.01348
0.65, 3.75, 19.26, 0.0163
0.65, 4, 18.98, 0.01928
0.65, 4.25, 18.71, 0.02275
0.65, 4.5, 18.41, 0.0265
0.65, 4.75, 18.09, 0.03048
0.65, 5, 17.73, 0.03455
0.65, 5.25, 17.32, 0.03836
0.65, 5.5, 16.94, 0.04236
0.65, 5.75, 16.56, 0.04616
0.65, 6, 16.19, 0.04983
0.65, 6.25, 15.83, 0.0532
0.65, 6.5, 15.5, 0.05628
0.65, 6.75, 15.19, 0.05905
0.65, 7, 14.91, 0.06156
0.65, 7.25, 14.67, 0.06372
0.65, 7.5, 14.45, 0.0656
0.65, 7.75, 14.27, 0.06722
0.65, 8, 14.11, 0.06861
0.65, 8.25, 13.99, 0.06989
0.75, 1, 20.2, 1.915e-3
0.75, 1.25, 20.15, 2.413e-3
0.75, 1.5, 20.1, 3.039e-3
0.75, 1.75, 20.04, 3.818e-3
0.75, 2, 19.99, 4.79e-3
0.75, 2.25, 19.91, 5.985e-3
0.75, 2.5, 19.82, 7.454e-3
0.75, 2.75, 19.72, 9.233e-3
0.75, 3, 19.58, 0.01136
0.75, 3.25, 19.42, 0.01386
0.75, 3.5, 19.18, 0.01658
0.75, 3.75, 18.95, 0.01979
0.75, 4, 18.68, 0.02332
0.75, 4.25, 18.37, 0.02713
0.75, 4.5, 18.04, 0.03115
0.75, 4.75, 17.69, 0.03525
0.75, 5, 17.27, 0.03908
0.75, 5.25, 16.89, 0.04309
0.75, 5.5, 16.51, 0.04693
0.75, 5.75, 16.14, 0.05055
0.75, 6, 15.78, 0.0539
0.75, 6.25, 15.45, 0.05701
0.75, 6.5, 15.15, 0.05975
0.75, 6.75, 14.87, 0.06219
0.75, 7, 14.63, 0.06432
0.75, 7.25, 14.41, 0.06618
0.75, 7.5, 14.24, 0.06783
0.75, 7.75, 14.09, 0.06924
0.75, 8, 13.97, 0.07039
0.75, 8.25, 13.87, 0.07147
0.85, 1, 20.13, 2.48e-3
0.85, 1.25, 20.08, 3.121e-3
0.85, 1.5, 20.02, 3.925e-3
0.85, 1.75, 19.96, 4.921e-3
0.85, 2, 19.89, 6.154e-3
0.85, 2.25, 19.8, 7.656e-3
0.85, 2.5, 19.69, 9.481e-3
0.85, 2.75, 19.55, 0.01166
0.85, 3, 19.39, 0.01422
0.85, 3.25, 19.14, 0.01698
0.85, 3.5, 18.9, 0.02026
0.85, 3.75, 18.63, 0.02385
0.85, 4, 18.33, 0.02773
0.85, 4.25, 18, 0.03177
0.85, 4.5, 17.64, 0.03593
0.85, 4.75, 17.22, 0.03975
0.85, 5, 16.84, 0.04377
0.85, 5.25, 16.46, 0.04762
0.85, 5.5, 16.08, 0.05123
0.85, 5.75, 15.73, 0.05462
0.85, 6, 15.4, 0.05766
0.85, 6.25, 15.1, 0.06038
0.85, 6.5, 14.83, 0.06279
0.85, 6.75, 14.59, 0.06491
0.85, 7, 14.38, 0.06679
0.85, 7.25, 14.21, 0.06842
0.85, 7.5, 14.06, 0.06976
0.85, 7.75, 13.95, 0.071
0.85, 8, 13.85, 0.07194
0.85, 8.25, 13.78, 0.07273
0.95, 1, 20.06, 3.206e-3
0.95, 1.25, 20, 4.03e-3
0.95, 1.5, 19.94, 5.052e-3
0.95, 1.75, 19.87, 6.318e-3
0.95, 2, 19.77, 7.86e-3
0.95, 2.25, 19.66, 9.73e-3
0.95, 2.5, 19.53, 0.01196
0.95, 2.75, 19.36, 0.01458
0.95, 3, 19.11, 0.01741
0.95, 3.25, 18.87, 0.02073
0.95, 3.5, 18.59, 0.02438
0.95, 3.75, 18.29, 0.02831
0.95, 4, 17.95, 0.0324
0.95, 4.25, 17.59, 0.0366
0.95, 4.5, 17.17, 0.04043
0.95, 4.75, 16.79, 0.04446
0.95, 5, 16.41, 0.04832
0.95, 5.25, 16.04, 0.05193
0.95, 5.5, 15.69, 0.0553
0.95, 5.75, 15.36, 0.05833
0.95, 6, 15.06, 0.06103
0.95, 6.25, 14.79, 0.06343
0.95, 6.5, 14.56, 0.06557
0.95, 6.75, 14.35, 0.06738
0.95, 7, 14.18, 0.06898
0.95, 7.25, 14.04, 0.0703
0.95, 7.5, 13.93, 0.07152
0.95, 7.75, 13.83, 0.07245
0.95, 8, 13.76, 0.07321
0.95, 8.25, 13.72, 0.07395
1.05, 1, 19.97, 4.125e-3
1.05, 1.25, 19.91, 5.177e-3
1.05, 1.5, 19.83, 6.469e-3
1.05, 1.75, 19.74, 8.054e-3
1.05, 2, 19.63, 9.961e-3
1.05, 2.25, 19.49, 0.01224
1.05, 2.5, 19.33, 0.01491
1.05, 2.75, 19.07, 0.0178
1.05, 3, 18.83, 0.02118
1.05, 3.25, 18.55, 0.0249
1.05, 3.5, 18.24, 0.02887
1.05, 3.75, 17.9, 0.033
1.05, 4, 17.55, 0.03727
1.05, 4.25, 17.13, 0.04112
1.05, 4.5, 16.74, 0.04514
1.05, 4.75, 16.36, 0.049
1.05, 5, 15.99, 0.05262
1.05, 5.25, 15.64, 0.05594
1.05, 5.5, 15.32, 0.059
1.05, 5.75, 15.02, 0.06169
1.05, 6, 14.76, 0.06412
1.05, 6.25, 14.53, 0.0662
1.05, 6.5, 14.33, 0.06804
1.05, 6.75, 14.16, 0.06957
1.05, 7, 14.02, 0.07098
1.05, 7.25, 13.91, 0.07207
1.05, 7.5, 13.82, 0.07303
1.05, 7.75, 13.76, 0.07384
1.05, 8, 13.71, 0.07445
1.05, 8.25, 13.67, 0.07494
1.15, 1, 19.88, 5.291e-3
1.15, 1.25, 19.8, 6.618e-3
1.15, 1.5, 19.71, 8.234e-3
1.15, 1.75, 19.6, 0.01019
1.15, 2, 19.46, 0.01251
1.15, 2.25, 19.29, 0.01524
1.15, 2.5, 19.03, 0.01818
1.15, 2.75, 18.79, 0.02163
1.15, 3, 18.51, 0.0254
1.15, 3.25, 18.2, 0.02942
1.15, 3.5, 17.86, 0.03363
1.15, 3.75, 17.47, 0.03769
1.15, 4, 17.08, 0.04179
1.15, 4.25, 16.7, 0.04587
1.15, 4.5, 16.32, 0.04971
1.15, 4.75, 15.95, 0.05333
1.15, 5, 15.6, 0.05665
1.15, 5.25, 15.29, 0.05975
1.15, 5.5, 14.99, 0.06244
1.15, 5.75, 14.73, 0.06481
1.15, 6, 14.5, 0.06687
1.15, 6.25, 14.31, 0.06869
1.15, 6.5, 14.15, 0.07031
1.15, 6.75, 14.01, 0.0716
1.15, 7, 13.9, 0.07272
1.15, 7.25, 13.82, 0.07367
1.15, 7.5, 13.75, 0.07441
1.15, 7.75, 13.7, 0.075
1.15, 8, 13.67, 0.07548
1.15, 8.25, 13.65, 0.07591
1.25, 1, 19.75, 6.736e-3
1.25, 1.25, 19.67, 8.39e-3
1.25, 1.5, 19.55, 0.01038
1.25, 1.75, 19.41, 0.01275
1.25, 2, 19.25, 0.01553
1.25, 2.25, 18.99, 0.01851
1.25, 2.5, 18.74, 0.02202
1.25, 2.75, 18.46, 0.02584
1.25, 3, 18.15, 0.02991
1.25, 3.25, 17.81, 0.03417
1.25, 3.5, 17.41, 0.03818
1.25, 3.75, 17.04, 0.04242
1.25, 4, 16.66, 0.04653
1.25, 4.25, 16.28, 0.05043
1.25, 4.5, 15.91, 0.05407
1.25, 4.75, 15.57, 0.05741
1.25, 5, 15.25, 0.06042
1.25, 5.25, 14.96, 0.06315
1.25, 5.5, 14.7, 0.06552
1.25, 5.75, 14.48, 0.06761
1.25, 6, 14.29, 0.06948
1.25, 6.25, 14.13, 0.07099
1.25, 6.5, 14, 0.07232
1.25, 6.75, 13.89, 0.07344
1.25, 7, 13.81, 0.07437
1.25, 7.25, 13.75, 0.07509
1.25, 7.5, 13.7, 0.07568
1.25, 7.75, 13.67, 0.0762
1.25, 8, 13.66, 0.07657
1.25, 8.25, 13.65, 0.07685
1.35, 1, 19.6, 8.503e-3
1.35, 1.25, 19.49, 0.01053
1.35, 1.5, 19.35, 0.01293
1.35, 1.75, 19.19, 0.01575
1.35, 2, 18.94, 0.0188
1.35, 2.25, 18.69, 0.02235
1.35, 2.5, 18.41, 0.02622
1.35, 2.75, 18.1, 0.03038
1.35, 3, 17.76, 0.03467
1.35, 3.25, 17.37, 0.03876
1.35, 3.5, 16.99, 0.04301
1.35, 3.75, 16.61, 0.04716
1.35, 4, 16.24, 0.0511
1.35, 4.25, 15.88, 0.05477
1.35, 4.5, 15.54, 0.05813
1.35, 4.75, 15.22, 0.06115
1.35, 5, 14.94, 0.0639
1.35, 5.25, 14.69, 0.06632
1.35, 5.5, 14.47, 0.06842
1.35, 5.75, 14.28, 0.07023
1.35, 6, 14.12, 0.07178
1.35, 6.25, 13.99, 0.07311
1.35, 6.5, 13.89, 0.07422
1.35, 6.75, 13.81, 0.07509
1.35, 7, 13.74, 0.07581
1.35, 7.25, 13.7, 0.07643
1.35, 7.5, 13.67, 0.07689
1.35, 7.75, 13.66, 0.07725
1.35, 8, 13.65, 0.07752
1.35, 8.25, 13.66, 0.07773
1.45, 1, 19.42, 0.01063
1.45, 1.25, 19.29, 0.01307
1.45, 1.5, 19.12, 0.01591
1.45, 1.75, 18.87, 0.01901
1.45, 2, 18.64, 0.02263
1.45, 2.25, 18.36, 0.02656
1.45, 2.5, 18.05, 0.03075
1.45, 2.75, 17.72, 0.03513
1.45, 3, 17.32, 0.03925
1.45, 3.25, 16.95, 0.04359
1.45, 3.5, 16.58, 0.0478
1.45, 3.75, 16.21, 0.05179
1.45, 4, 15.84, 0.05546
1.45, 4.25, 15.51, 0.0589
1.45, 4.5, 15.2, 0.06196
1.45, 4.75, 14.91, 0.06468
1.45, 5, 14.67, 0.06716
1.45, 5.25, 14.45, 0.06927
1.45, 5.5, 14.27, 0.07109
1.45, 5.75, 14.12, 0.0727
1.45, 6, 13.99, 0.07398
1.45, 6.25, 13.88, 0.07499
1.45, 6.5, 13.81, 0.07601
1.45, 6.75, 13.75, 0.07672
1.45, 7, 13.71, 0.07729
1.45, 7.25, 13.68, 0.07774
1.45, 7.5, 13.67, 0.07809
1.45, 7.75, 13.67, 0.07835
1.45, 8, 13.68, 0.0786
1.45, 8.25, 13.69, 0.07874
1.55, 1, 19.2, 0.0131
1.55, 1.25, 19.03, 0.01597
1.55, 1.5, 18.8, 0.01911
1.55, 1.75, 18.56, 0.02275
1.55, 2, 18.29, 0.02673
1.55, 2.25, 17.99, 0.03101
1.55, 2.5, 17.66, 0.03543
1.55, 2.75, 17.26, 0.03961
1.55, 3, 16.9, 0.04403
1.55, 3.25, 16.53, 0.0483
1.55, 3.5, 16.17, 0.05236
1.55, 3.75, 15.82, 0.05614
1.55, 4, 15.48, 0.05959
1.55, 4.25, 15.17, 0.0627
1.55, 4.5, 14.9, 0.06551
1.55, 4.75, 14.65, 0.06797
1.55, 5, 14.45, 0.0702
1.55, 5.25, 14.27, 0.07205
1.55, 5.5, 14.11, 0.07358
1.55, 5.75, 13.99, 0.07491
1.55, 6, 13.89, 0.07603
1.55, 6.25, 13.82, 0.07696
1.55, 6.5, 13.76, 0.07767
1.55, 6.75, 13.72, 0.07824
1.55, 7, 13.69, 0.07869
1.55, 7.25, 13.68, 0.07908
1.55, 7.5, 13.68, 0.07934
1.55, 7.75, 13.68, 0.07947
1.55, 8, 13.7, 0.0796
1.55, 8.25, 13.72, 0.07968
