0.5, 0.3, 20.15, 1.001e-3, 1.203e-12
0.5, 0.4, 20.05, 1.362e-3, 1.142e-12
0.5, 0.5, 19.97, 1.849e-3, 1.07e-12
0.5, 0.6, 19.9, 2.508e-3, 970.8e-15
0.5, 0.7, 19.82, 3.395e-3, 822.4e-15
0.5, 0.8, 19.73, 4.579e-3, 738e-15
0.5, 0.9, 19.62, 6.131e-3, 683.8e-15
0.5, 1, 19.47, 8.133e-3, 641.9e-15
0.5, 1.1, 19.28, 0.01066, 606.8e-15
0.5, 1.2, 19.03, 0.01373, 576.1e-15
0.5, 1.3, 18.66, 0.01715, 548.5e-15
