MeasResult
PNOISE:LPL
A.14.04,N9030A
550 DP2 EDP EP1 EXM FS1 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,100000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
,,1428.894,1428.894,,
,,-74.37,-73.24,,
,,1445.4398,1445.4398,,
,,-68.24,-73.31,,
,,1462.1772,1462.1772,,
,,-70.86,-73.43,,
,,1479.1084,1479.1084,,
,,-75.66,-73.62,,
,,1496.2357,1496.2357,,
,,-75.63,-73.67,,
,,1513.5612,1513.5612,,
,,-74.33,-73.73,,
,,1531.0875,1531.0875,,
,,-79.87,-73.88,,
,,1548.8166,1548.8166,,
,,-74.1,-74.17,,
,,1566.7511,1566.7511,,
,,-73.86,-74.43,,
,,1584.8932,1584.8932,,
,,-73.77,-74.49,,
,,1603.2454,1603.2454,,
,,-72.69,-74.7,,
,,1621.8101,1621.8101,,
,,-74.07,-74.71,,
,,1640.5898,1640.5898,,
,,-72.31,-74.77,,
,,1659.5869,1659.5869,,
,,-73.24,-75.02,,
,,1678.804,1678.804,,
,,-74.89,-75.31,,
,,1698.2437,1698.2437,,
,,-75.33,-75.54,,
,,1717.9084,1717.9084,,
,,-74.7,-75.8,,
,,1737.8008,1737.8008,,
,,-76.11,-76.08,,
,,1757.9236,1757.9236,,
,,-81.77,-76.09,,
,,1778.2794,1778.2794,,
,,-79.77,-76.35,,
,,1798.8709,1798.8709,,
,,-74.84,-76.44,,
,,1819.7009,1819.7009,,
,,-74.41,-76.62,,
,,1840.772,1840.772,,
,,-73.5,-76.74,,
,,1862.0871,1862.0871,,
,,-75.69,-77.13,,
,,1883.6491,1883.6491,,
,,-74.06,-77.35,,
,,1905.4607,1905.4607,,
,,-77.49,-77.72,,
,,1927.5249,1927.5249,,
,,-80.95,-77.98,,
,,1949.8446,1949.8446,,
,,-81.57,-78.39,,
,,1972.4227,1972.4227,,
,,-80.83,-78.59,,
,,1995.2623,1995.2623,,
,,-80.05,-78.91,,
,,2018.3664,2018.3664,,
,,-80.2,-78.84,,
,,2041.7379,2041.7379,,
,,-75.92,-78.78,,
,,2065.3802,2065.3802,,
,,-77.96,-79.14,,
,,2089.2961,2089.2961,,
,,-75.41,-79.44,,
,,2113.489,2113.489,,
,,-82.87,-79.84,,
,,2137.9621,2137.9621,,
,,-77.44,-80.16,,
,,2162.7185,2162.7185,,
,,-81.76,-80.54,,
,,2187.7616,2187.7616,,
,,-80.98,-80.62,,
,,2213.0947,2213.0947,,
,,-84.69,-80.66,,
,,2238.7211,2238.7211,,
,,-79.2,-80.57,,
,,2264.6443,2264.6443,,
,,-83.52,-80.53,,
,,2290.8677,2290.8677,,
,,-80.23,-80.67,,
,,2317.3946,2317.3946,,
,,-78.45,-80.84,,
,,2344.2288,2344.2288,,
,,-83.13,-81.26,,
,,2371.3737,2371.3737,,
,,-81.26,-81.43,,
,,2398.8329,2398.8329,,
,,-82.56,-81.67,,
,,2426.6101,2426.6101,,
,,-83.2,-81.57,,
,,2454.7089,2454.7089,,
,,-82.8,-81.83,,
,,2483.1331,2483.1331,,
,,-79.3,-81.93,,
,,2511.8864,2511.8864,,
,,-81.82,-82.12,,
,,2540.9727,2540.9727,,
,,-79.51,-82.09,,
,,2570.3958,2570.3958,,
,,-79.84,-82.33,,
,,2600.1596,2600.1596,,
,,-83.29,-82.33,,
,,2630.268,2630.268,,
,,-84.19,-82.46,,
,,2660.7251,2660.7251,,
,,-85.58,-82.79,,
,,2691.5348,2691.5348,,
,,-81.98,-82.83,,
,,2722.7013,2722.7013,,
,,-80.76,-83.02,,
,,2754.2287,2754.2287,,
,,-80.57,-83.08,,
,,2786.1212,2786.1212,,
,,-83.47,-83.23,,
,,2818.3829,2818.3829,,
,,-84.13,-83.46,,
,,2851.0183,2851.0183,,
,,-85.34,-83.84,,
,,2884.0315,2884.0315,,
,,-83.92,-84.01,,
,,2917.427,2917.427,,
,,-84.67,-84.3,,
,,2951.2092,2951.2092,,
,,-83.65,-84.51,,
,,2985.3826,2985.3826,,
,,-83.12,-84.75,,
,,3019.9517,3019.9517,,
,,-86.07,-84.87,,
,,3054.9211,3054.9211,,
,,-84.02,-85,,
,,3090.2954,3090.2954,,
,,-85.73,-85.3,,
,,3126.0794,3126.0794,,
,,-84.01,-85.62,,
,,3162.2777,3162.2777,,
,,-86.59,-85.94,,
,,3198.8951,3198.8951,,
,,-88.09,-86.11,,
,,3235.9366,3235.9366,,
,,-88.08,-86.23,,
,,3273.4069,3273.4069,,
,,-85.55,-86.3,,
,,3311.3112,3311.3112,,
,,-86.15,-86.44,,
,,3349.6544,3349.6544,,
,,-84.67,-86.62,,
,,3388.4416,3388.4416,,
,,-88.9,-87.01,,
,,3427.6779,3427.6779,,
,,-87.03,-87.32,,
,,3467.3685,3467.3685,,
,,-88.63,-87.28,,
,,3507.5187,3507.5187,,
,,-88.88,-87.37,,
,,3548.1339,3548.1339,,
,,-87.95,-87.56,,
,,3589.2193,3589.2193,,
,,-87.94,-87.84,,
,,3630.7805,3630.7805,,
,,-87.39,-87.96,,
,,3672.823,3672.823,,
,,-86.95,-87.96,,
,,3715.3523,3715.3523,,
,,-86.88,-88.08,,
,,3758.374,3758.374,,
,,-87.24,-88.25,,
,,3801.894,3801.894,,
,,-88.8,-88.39,,
,,3845.9178,3845.9178,,
,,-92.62,-88.61,,
,,3890.4514,3890.4514,,
,,-90.29,-88.6,,
,,3935.5008,3935.5008,,
,,-85.04,-88.7,,
,,3981.0717,3981.0717,,
,,-86.1,-88.85,,
,,4027.1703,4027.1703,,
,,-90.24,-88.9,,
,,4073.8028,4073.8028,,
,,-90.34,-88.92,,
,,4120.9752,4120.9752,,
,,-89.39,-88.97,,
,,4168.6938,4168.6938,,
,,-87.93,-89.16,,
,,4216.965,4216.965,,
,,-91.03,-89.31,,
,,4265.7952,4265.7952,,
,,-89.34,-89.47,,
,,4315.1908,4315.1908,,
,,-89.41,-89.55,,
,,4365.1583,4365.1583,,
,,-89.65,-89.62,,
,,4415.7045,4415.7045,,
,,-88.63,-89.62,,
,,4466.8359,4466.8359,,
,,-89.5,-89.89,,
,,4518.5594,4518.5594,,
,,-92.01,-90.49,,
,,4570.8819,4570.8819,,
,,-90.02,-90.92,,
,,4623.8102,4623.8102,,
,,-88.37,-91.19,,
,,4677.3514,4677.3514,,
,,-89.1,-91.52,,
,,4731.5126,4731.5126,,
,,-91.76,-91.53,,
,,4786.3009,4786.3009,,
,,-90.34,-91.65,,
,,4841.7237,4841.7237,,
,,-90.74,-91.58,,
,,4897.7882,4897.7882,,
,,-88.94,-91.52,,
,,4954.5019,4954.5019,,
,,-90.37,-91.51,,
,,5011.8723,5011.8723,,
,,-92.61,-91.81,,
,,5069.9071,5069.9071,,
,,-96.71,-92.23,,
,,5128.6138,5128.6138,,
,,-98.63,-92.63,,
,,5188.0004,5188.0004,,
,,-96.02,-92.64,,
,,5248.0746,5248.0746,,
,,-96.42,-92.77,,
,,5308.8444,5308.8444,,
,,-98.07,-93.01,,
,,5370.318,5370.318,,
,,-89.64,-93.35,,
,,5432.5033,5432.5033,,
,,-90.64,-93.16,,
,,5495.4087,5495.4087,,
,,-89.35,-93.19,,
,,5559.0426,5559.0426,,
,,-88.01,-93.28,,
,,5623.4133,5623.4133,,
,,-89.18,-93.36,,
,,5688.5293,5688.5293,,
,,-96.46,-93.38,,
,,5754.3994,5754.3994,,
,,-98.29,-93.14,,
,,5821.0322,5821.0322,,
,,-98.74,-93.02,,
,,5888.4366,5888.4366,,
,,-92.25,-92.81,,
,,5956.6214,5956.6214,,
,,-93.07,-92.85,,
,,6025.5959,6025.5959,,
,,-93.77,-92.89,,
,,6095.369,6095.369,,
,,-97.03,-92.81,,
,,6165.95,6165.95,,
,,-87.34,-93.17,,
,,6237.3484,6237.3484,,
,,-91.11,-93.27,,
,,6309.5734,6309.5734,,
,,-92.86,-93.56,,
,,6382.6349,6382.6349,,
,,-73.08,-93.93,,
,,6456.5423,6456.5423,,
,,-86.37,-94.18,,
,,6531.3055,6531.3055,,
,,-87.14,-94.35,,
,,6606.9345,6606.9345,,
,,-93.87,-94.43,,
,,6683.4392,6683.4392,,
,,-93.76,-94.42,,
,,6760.8298,6760.8298,,
,,-96.87,-94.63,,
,,6839.1165,6839.1165,,
,,-97.52,-94.79,,
,,6918.3097,6918.3097,,
,,-96.11,-95.02,,
,,6998.42,6998.42,,
,,-98.02,-94.88,,
,,7079.4578,7079.4578,,
,,-92.89,-95.26,,
,,7161.4341,7161.4341,,
,,-96.11,-95.52,,
,,7244.3596,7244.3596,,
,,-96.54,-95.87,,
,,7328.2453,7328.2453,,
,,-94.72,-96.26,,
,,7413.1024,7413.1024,,
,,-100.4,-96.6,,
,,7498.9421,7498.9421,,
,,-100.09,-97.22,,
,,7585.7758,7585.7758,,
,,-98.56,-97.42,,
,,7673.6149,7673.6149,,
,,-97.15,-97.69,,
,,7762.4712,7762.4712,,
,,-96.82,-97.77,,
,,7852.3563,7852.3563,,
,,-99,-97.78,,
,,7943.2823,7943.2823,,
,,-93.78,-97.67,,
,,8035.2612,8035.2612,,
,,-96.07,-97.63,,
,,8128.3052,8128.3052,,
,,-97.12,-97.91,,
,,8222.4265,8222.4265,,
,,-100.91,-97.95,,
,,8317.6377,8317.6377,,
,,-99.67,-97.95,,
,,8413.9514,8413.9514,,
,,-98.71,-98.14,,
,,8511.3804,8511.3804,,
,,-101.47,-98.26,,
,,8609.9375,8609.9375,,
,,-98.31,-98.42,,
,,8709.6359,8709.6359,,
,,-100.06,-98.38,,
,,8810.4887,8810.4887,,
,,-98.62,-98.41,,
,,8912.5094,8912.5094,,
,,-97.84,-98.55,,
,,9015.7114,9015.7114,,
,,-93.63,-98.56,,
,,9120.1084,9120.1084,,
,,-97.04,-98.95,,
,,9225.7143,9225.7143,,
,,-99.34,-99.24,,
,,9332.543,9332.543,,
,,-96.89,-99.31,,
,,9440.6088,9440.6088,,
,,-96.55,-98.94,,
,,9549.9259,9549.9259,,
,,-99.19,-98.87,,
,,9660.5088,9660.5088,,
,,-103.13,-98.83,,
,,9772.3722,9772.3722,,
