; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-1.6875e-12, -6.377767556e-6, 15.53556594e-6
-1.681640625e-12, -7.079070078e-6, 11.24280082e-6
-1.67578125e-12, -7.330502632e-6, 6.928004549e-6
-1.669921875e-12, -7.049044218e-6, 2.821255297e-6
-1.6640625e-12, -6.249482885e-6, -751.6948306e-9
-1.658203125e-12, -5.056383851e-6, -3.467339219e-6
-1.65234375e-12, -3.687914118e-6, -5.113562101e-6
-1.646484375e-12, -2.416830175e-6, -5.660540623e-6
-1.640625e-12, -1.517662784e-6, -5.260674233e-6
-1.634765625e-12, -1.211672733e-6, -4.178268323e-6
-1.62890625e-12, -1.623278399e-6, -2.683179304e-6
-1.623046875e-12, -2.761776288e-6, -959.0773992e-9
-1.6171875e-12, -4.537422727e-6, 931.9638309e-9
-1.611328125e-12, -6.810066069e-6, 3.016407606e-6
-1.60546875e-12, -9.454320155e-6, 5.330395973e-6
-1.599609375e-12, -12.41443435e-6, 7.840006949e-6
-1.59375e-12, -15.72180147e-6, 10.40422365e-6
-1.587890625e-12, -19.46159516e-6, 12.80074001e-6
-1.58203125e-12, -23.69827407e-6, 14.80182588e-6
-1.576171875e-12, -28.3921678e-6, 16.26226271e-6
-1.5703125e-12, -33.3490403e-6, 17.17636693e-6
-1.564453125e-12, -38.23432186e-6, 17.67800724e-6
-1.55859375e-12, -42.65607289e-6, 17.98672313e-6
-1.552734375e-12, -46.28761449e-6, 18.32916632e-6
-1.546875e-12, -48.97828387e-6, 18.87502148e-6
-1.541015625e-12, -50.80130524e-6, 19.71607662e-6
-1.53515625e-12, -52.01313641e-6, 20.89256457e-6
-1.529296875e-12, -52.93837169e-6, 22.44554544e-6
-1.5234375e-12, -53.82997649e-6, 24.46109099e-6
-1.517578125e-12, -54.76871603e-6, 27.07770885e-6
-1.51171875e-12, -55.65004863e-6, 30.44936086e-6
-1.505859375e-12, -56.26734176e-6, 34.68139805e-6
-1.5e-12, -56.45462169e-6, 39.77270398e-6
-1.494140625e-12, -56.22155693e-6, 45.59600016e-6
-1.48828125e-12, -55.81312741e-6, 51.93011835e-6
-1.482421875e-12, -55.65793532e-6, 58.53203151e-6
-1.4765625e-12, -56.21906844e-6, 65.21551313e-6
-1.470703125e-12, -57.80749975e-6, 71.89811901e-6
-1.46484375e-12, -60.43891938e-6, 78.59193673e-6
-1.458984375e-12, -63.80019099e-6, 85.34030763e-6
-1.453125e-12, -67.34663966e-6, 92.13012931e-6
-1.447265625e-12, -70.49514101e-6, 98.82426323e-6
-1.44140625e-12, -72.83498526e-6, 105.1531896e-6
-1.435546875e-12, -74.26796197e-6, 110.7805868e-6
-1.4296875e-12, -75.01650372e-6, 115.4239357e-6
-1.423828125e-12, -75.4931665e-6, 118.9831502e-6
-1.41796875e-12, -76.08354263e-6, 121.6206011e-6
-1.412109375e-12, -76.93305684e-6, 123.7504026e-6
-1.40625e-12, -77.82949353e-6, 125.9290575e-6
-1.400390625e-12, -78.2363251e-6, 128.6803721e-6
-1.39453125e-12, -77.47151174e-6, 132.3182305e-6
-1.388671875e-12, -74.96672115e-6, 136.8377657e-6
-1.3828125e-12, -70.50699e-6, 141.9240325e-6
-1.376953125e-12, -64.35491654e-6, 147.0840565e-6
-1.37109375e-12, -57.20524203e-6, 151.8589544e-6
-1.365234375e-12, -49.97907331e-6, 156.0369518e-6
-1.359375e-12, -43.52771375e-6, 159.7808705e-6
-1.353515625e-12, -38.35113071e-6, 163.6100277e-6
-1.34765625e-12, -34.43255192e-6, 168.2286572e-6
-1.341796875e-12, -31.25018047e-6, 174.2525293e-6
-1.3359375e-12, -27.96464793e-6, 181.9299221e-6
-1.330078125e-12, -23.71914141e-6, 190.9643449e-6
-1.32421875e-12, -17.94974501e-6, 200.5177727e-6
-1.318359375e-12, -10.59950809e-6, 209.4126179e-6
-1.3125e-12, -2.161582594e-6, 216.4787159e-6
-1.306640625e-12, 6.467029854e-6, 220.9341771e-6
-1.30078125e-12, 14.27788778e-6, 222.6680625e-6
-1.294921875e-12, 20.49892829e-6, 222.3182175e-6
-1.2890625e-12, 24.88790005e-6, 221.1025714e-6
-1.283203125e-12, 27.87606331e-6, 220.4455309e-6
-1.27734375e-12, 30.50976864e-6, 221.5141153e-6
-1.271484375e-12, 34.19618709e-6, 224.81522e-6
-1.265625e-12, 40.31722574e-6, 229.99187e-6
-1.259765625e-12, 49.8166629e-6, 235.8956971e-6
-1.25390625e-12, 62.87852551e-6, 240.9245958e-6
-1.248046875e-12, 78.79558724e-6, 243.5276355e-6
-1.2421875e-12, 96.0795035e-6, 242.7225079e-6
-1.236328125e-12, 112.7997457e-6, 238.4626529e-6
-1.23046875e-12, 127.0733885e-6, 231.7341991e-6
-1.224609375e-12, 137.5795599e-6, 224.3430281e-6
-1.21875e-12, 143.9555876e-6, 218.4443196e-6
-1.212890625e-12, 146.9539304e-6, 215.9428775e-6
-1.20703125e-12, 148.2970656e-6, 217.930521e-6
-1.201171875e-12, 150.2482243e-6, 224.3174347e-6
-1.1953125e-12, 154.9979102e-6, 233.7623289e-6
-1.189453125e-12, 164.025775e-6, 243.9276884e-6
-1.18359375e-12, 177.6155532e-6, 252.0030834e-6
-1.177734375e-12, 194.6692224e-6, 255.3724721e-6
-1.171875e-12, 212.8915088e-6, 252.2657458e-6
-1.166015625e-12, 229.3168197e-6, 242.2369489e-6
-1.16015625e-12, 241.0551724e-6, 226.3495062e-6
-1.154296875e-12, 246.0690586e-6, 207.0132456e-6
-1.1484375e-12, 243.7782749e-6, 187.4953861e-6
-1.142578125e-12, 235.3291152e-6, 171.2023133e-6
-1.13671875e-12, 223.4470359e-6, 160.8855754e-6
-1.130859375e-12, 211.8952384e-6, 157.9513599e-6
-1.125e-12, 204.6581727e-6, 162.0401098e-6
-1.119140625e-12, 205.0347045e-6, 170.9915611e-6
-1.11328125e-12, 214.8461972e-6, 181.2287285e-6
-1.107421875e-12, 233.9380467e-6, 188.4987867e-6
-1.1015625e-12, 260.0885291e-6, 188.8212923e-6
-1.095703125e-12, 289.3527595e-6, 179.4368025e-6
-1.08984375e-12, 316.780898e-6, 159.5378819e-6
-1.083984375e-12, 337.3752974e-6, 130.6049302e-6
-1.078125e-12, 347.1033144e-6, 96.25316388e-6
-1.072265625e-12, 343.7680357e-6, 61.6048256e-6
-1.06640625e-12, 327.5601157e-6, 32.30635987e-6
