; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-1.751953125e-12, 201.7116132e-6, 557.7880725e-6
-1.74609375e-12, 239.6497302e-6, 537.7160864e-6
-1.740234375e-12, 276.1438285e-6, 517.147116e-6
-1.734375e-12, 310.6940006e-6, 495.8861764e-6
-1.728515625e-12, 342.9637171e-6, 473.642808e-6
-1.72265625e-12, 372.7998224e-6, 450.1295591e-6
-1.716796875e-12, 400.1993046e-6, 425.1505377e-6
-1.7109375e-12, 425.2375437e-6, 398.6535693e-6
-1.705078125e-12, 447.9839248e-6, 370.7309403e-6
-1.69921875e-12, 468.4348355e-6, 341.5722237e-6
-1.693359375e-12, 486.4863146e-6, 311.3877385e-6
-1.6875e-12, 501.955303e-6, 280.331452e-6
-1.681640625e-12, 514.6405503e-6, 248.4515036e-6
-1.67578125e-12, 524.4006666e-6, 215.6871483e-6
-1.669921875e-12, 531.2199688e-6, 181.914348e-6
-1.6640625e-12, 535.2370238e-6, 147.0251227e-6
-1.658203125e-12, 536.7234575e-6, 111.0138366e-6
-1.65234375e-12, 536.017344e-6, 74.04068339e-6
-1.646484375e-12, 533.4315381e-6, 36.44994151e-6
-1.640625e-12, 529.1654519e-6, -1.264740627e-6
-1.634765625e-12, 523.2488275e-6, -38.53848934e-6
-1.62890625e-12, 515.534808e-6, -74.83322143e-6
-1.623046875e-12, 505.744932e-6, -109.7258832e-6
-1.6171875e-12, 493.5506659e-6, -142.9604114e-6
-1.611328125e-12, 478.6656658e-6, -174.4496606e-6
-1.60546875e-12, 460.9187874e-6, -204.2298583e-6
-1.599609375e-12, 440.2864398e-6, -232.3863591e-6
-1.59375e-12, 416.8761472e-6, -258.9775657e-6
-1.587890625e-12, 390.8712846e-6, -283.984121e-6
-1.58203125e-12, 362.4592972e-6, -307.2996163e-6
-1.576171875e-12, 331.771613e-6, -328.7643076e-6
